,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
274,Stranda,92,NO,1547347800,93,62.31,6.93,41.0,18.34
275,Wanning,75,AT,1547347800,96,48.64,13.53,33.8,6.93
276,Villa Maria,75,CO,1547344800,87,4.5,-74.09,53.6,4.7
277,Nantucket,1,US,1547347980,43,41.28,-70.1,26.06,10.29
278,Lahij,32,YE,1547348901,93,13.06,44.88,63.54,3.49
279,Vila Franca do Campo,75,PT,1547346600,77,37.72,-25.43,59.0,9.17
280,Beitbridge,32,ZA,1547348903,79,-22.21,29.99,76.32,12.1
281,Country Club,0,BR,1547344800,73,-23.02,-47.01,75.2,9.17
282,Sakaraha,32,MG,1547348906,91,-22.91,44.53,71.28,4.61
283,Bilibino,20,RU,1547348907,0,68.06,166.44,-27.37,2.3
284,Portland,1,US,1547347980,73,45.52,-122.67,46.04,8.05
285,Pevek,0,RU,1547348742,71,69.7,170.27,-23.68,4.72
286,Dingle,48,PH,1547348701,72,11.0,122.67,81.99,14.05
287,Moa,48,CU,1547348912,87,20.66,-74.95,69.75,4.38
288,Seoul,1,KR,1547346600,52,37.57,126.98,35.6,4.7
289,Longyearbyen,20,NO,1547344200,55,78.22,15.63,6.8,14.99
290,Lake Charles,1,US,1547348100,61,30.23,-93.22,56.12,12.75
291,Ordzhonikidze,0,UA,1547348917,100,44.96,35.36,32.58,9.64
292,Oranjemund,92,ZA,1547348766,93,-28.55,16.43,65.07,9.86
293,Nuuk,75,GL,1547344200,79,64.17,-51.74,26.6,1.12
294,Huarmey,0,PE,1547348711,91,-10.07,-78.15,62.19,4.21
295,Wajir,0,KE,1547348922,55,1.75,40.07,68.94,3.98
296,Makubetsu,20,JP,1547344800,66,42.84,143.34,15.8,6.93
297,Puerto Escondido,0,MX,1547348925,100,15.86,-97.07,80.64,4.05
298,Mitzic,76,GA,1547348926,99,0.78,11.55,70.29,2.71
299,Dargaville,80,NZ,1547348927,49,-35.94,173.86,77.67,13.44
300,San Patricio,8,PY,1547348701,95,-26.98,-56.83,74.88,3.87
301,Rawson,0,AR,1547348728,51,-43.3,-65.11,60.48,10.8
302,Salisbury,90,GB,1547348160,82,51.07,-1.8,50.0,16.11
303,Sai Buri,75,TH,1547344800,88,6.7,101.62,77.0,5.82
304,Marica,0,BR,1547344800,83,-22.92,-42.82,80.6,9.17
305,Omboue,92,GA,1547348935,100,-1.57,9.26,75.24,8.86
306,Walvis Bay,0,NA,1547344800,93,-22.95,14.51,60.8,4.7
307,Eureka,40,US,1547346900,100,40.8,-124.16,53.6,4.7
308,Aitape,64,PG,1547348738,90,-3.15,142.36,82.71,8.75
309,Iralaya,92,HN,1547348943,86,15.0,-83.23,77.67,6.89
310,Ponta do Sol,32,BR,1547348702,88,-20.63,-46.0,67.23,3.38
311,Ajaccio,90,FR,1547346600,70,41.93,8.74,50.0,5.82
312,Brae,92,GB,1547347800,87,60.4,-1.35,48.2,25.28
313,Palmer,0,AU,1547346600,8,-34.85,139.16,87.8,16.11
314,Kholodnyy,20,RU,1547348949,47,62.72,147.95,-31.24,2.71
315,Rocha,0,UY,1547348868,90,-34.48,-54.34,64.71,8.23
316,Berlevag,88,NO,1547348705,100,70.86,29.09,27.72,4.09
317,Deer Lake,90,CA,1547344800,78,49.18,-57.43,17.6,4.7
318,Manadhoo,0,MV,1547348955,100,5.77,73.38,81.81,8.86
319,Gigmoto,92,PH,1547348956,97,13.78,124.39,79.38,15.46
320,Northam,92,GB,1547344200,87,51.04,-4.21,50.0,18.34
321,Yellowknife,20,CA,1547344800,69,62.45,-114.38,-11.21,10.29
322,Sauk Rapids,90,US,1547348160,81,45.59,-94.17,29.12,3.76
323,Rio Grande,75,BR,1547346600,88,-32.03,-52.1,71.6,4.7
324,Zhigansk,32,RU,1547348812,54,66.77,123.37,-18.46,10.13
325,Storslett,56,NO,1547348964,95,69.77,21.03,15.93,1.86
326,Khani,40,GE,1547346600,39,41.96,42.96,46.4,10.29
327,Mosquera,75,CO,1547344800,87,4.71,-74.23,53.6,4.7
328,Inuvik,20,CA,1547344800,66,68.36,-133.71,-31.01,6.51
329,San Jose,0,PH,1547348969,69,15.79,120.99,81.0,3.2
330,Phalia,20,PK,1547348970,96,32.43,73.58,47.97,3.31
331,Coquimbo,20,CL,1547344800,87,-29.95,-71.34,60.8,6.93
332,Bull Savanna,32,JM,1547348973,83,17.89,-77.59,70.2,3.31
333,Mangan,0,IN,1547348974,47,27.5,88.54,17.46,1.07
334,Rosa Zarate,92,EC,1547348975,89,0.33,-79.47,72.72,2.48
335,North Bend,40,US,1547344560,86,43.41,-124.22,51.98,1.59
336,Laguna,5,MX,1547343600,59,27.52,-110.01,62.6,3.36
337,Mecca,0,SA,1547348845,79,21.43,39.83,56.52,1.97
338,Port Hardy,90,CA,1547344800,87,50.7,-127.42,46.4,20.8
339,Marrakesh,12,MA,1547346600,52,31.63,-7.99,41.0,3.36
340,Port Augusta,0,AU,1547344800,41,-32.49,137.76,78.8,19.46
341,Sioux Lookout,90,CA,1547344800,85,50.1,-91.92,17.6,5.82
342,Garmsar,12,IR,1547348985,54,35.22,52.34,20.79,2.26
343,Madang,88,PG,1547348987,96,-5.21,145.81,81.0,3.76
344,Hay River,90,CA,1547344800,76,60.82,-115.79,-4.01,11.41
345,Broken Hill,0,AU,1547344800,18,-31.97,141.45,89.6,12.75
346,Henties Bay,48,NA,1547348991,100,-22.12,14.28,59.4,0.25
347,Tornio,0,FI,1547347800,92,61.12,27.27,14.0,3.36
348,Salym,92,RU,1547348993,77,60.06,71.48,7.38,11.88
349,Sur,8,OM,1547348837,100,22.57,59.53,69.75,4.38
350,Lamu,12,ID,1547348995,77,0.57,122.3,84.87,1.36
351,Mercedes,8,UY,1547348997,81,-33.25,-58.03,71.1,11.32
352,Hemsedal,56,NO,1547348998,83,60.86,8.55,19.17,4.09
353,Tanout,24,NE,1547348999,39,14.97,8.88,59.31,11.43
354,Loandjili,40,CG,1547344800,94,-4.77,11.87,77.0,1.12
355,Chulym,56,RU,1547349003,68,55.09,80.97,-0.73,11.03
356,Khandyga,12,RU,1547349007,0,62.65,135.58,-41.59,2.82
357,Coihaique,0,CL,1547344800,57,-45.58,-72.07,50.0,5.82
358,Tokur,48,RU,1547349010,67,53.13,132.9,-6.31,2.26
359,Talhar,0,PK,1547349011,93,24.88,68.82,54.18,9.57
360,Kozhva,88,RU,1547349012,70,65.11,57.05,14.85,11.03
361,College,1,US,1547344680,72,64.86,-147.8,-5.98,4.32
362,Orkney,0,ZA,1547349018,78,-26.98,26.67,55.98,1.81
363,Harbin,40,CN,1547344800,92,45.77,126.62,8.6,6.71
364,Agira,0,IT,1547347800,80,37.66,14.52,41.0,9.17
365,Grootfontein,0,NA,1547349022,34,-19.56,18.1,61.83,8.12
366,Yumen,24,CN,1547349023,70,40.29,97.04,5.49,10.25
367,Solnechnyy,36,RU,1547349024,62,50.72,136.64,-7.57,3.31
368,Namatanai,88,PG,1547349026,100,-3.66,152.44,82.89,17.47
369,Calama,0,CL,1547344800,54,-22.46,-68.93,55.4,14.99
370,Bethel,75,US,1547346480,82,60.79,-161.76,-4.01,20.8
371,Karimpur,0,BD,1547349029,79,23.98,88.63,63.99,7.9
372,Matagami,8,NG,1547349031,41,9.67,8.4,62.19,6.22
373,Antofagasta,20,CL,1547344800,82,-23.65,-70.4,64.4,9.17
374,Vung Tau,12,VN,1547349033,88,10.35,107.08,81.63,19.71
375,Finschhafen,80,PG,1547349034,93,-6.6,147.85,77.85,2.53
376,Jieznas,90,LT,1547346000,86,54.6,24.18,30.2,5.82
377,Havre-Saint-Pierre,90,CA,1547344800,72,50.23,-63.6,17.6,11.41
378,Borovoy,68,RU,1547349038,83,63.23,52.89,13.68,9.8
379,Floro,92,NO,1547347800,100,61.6,5.03,41.0,17.22
380,Ratnagiri,0,IN,1547349041,100,16.98,73.3,75.51,7.85
381,Coahuayana,12,MX,1547348750,78,18.62,-100.35,62.46,2.48
382,Rafsanjan,0,IR,1547349043,61,30.4,55.99,21.96,4.32
383,Sangar,32,RU,1547349045,41,63.92,127.47,-26.83,6.62
384,Riviere-au-Renard,5,CA,1547344800,78,49.0,-64.4,17.6,12.75
385,Templin,75,DE,1547347800,81,53.12,13.5,42.8,11.41
386,Beloha,80,MG,1547349049,94,-25.17,45.06,72.63,3.71
387,Flinders,32,AU,1547349050,75,-34.58,150.85,76.59,6.11
388,Gamba,0,CN,1547349052,45,28.28,88.52,3.51,5.84
389,Sao Joao da Barra,48,BR,1547348892,96,-21.64,-41.05,79.38,14.67
390,Daloa,36,CI,1547349055,96,6.88,-6.45,71.82,2.53
391,Woodland,75,US,1547347980,57,45.91,-122.74,46.04,13.87
392,Joao Pinheiro,32,BR,1547348866,85,-17.74,-46.17,69.03,2.59
393,Beira,0,ES,1547346600,76,43.2,-8.36,48.2,4.7
394,Kudahuvadhoo,88,MV,1547349063,100,2.67,72.89,81.99,11.25
395,Newport,90,GB,1547347800,100,51.59,-3.0,50.0,19.46
396,Panzhihua,0,CN,1547349066,42,26.59,101.72,57.24,2.08
397,Lugovoy,64,RU,1547349067,82,59.72,65.88,11.61,9.64
398,Mozelos,0,PT,1547346600,86,41.0,-8.56,39.2,4.7
399,Galle,1,US,1547347980,68,29.74,-97.91,51.98,8.79
400,Vanimo,48,PG,1547348918,100,-2.67,141.3,82.8,17.13
401,Belmonte,0,PT,1547348836,81,40.36,-7.35,28.17,5.88
402,Palampur,20,IN,1547349073,80,32.11,76.54,12.24,1.48
403,Jiwani,0,PK,1547349074,71,25.05,61.74,58.41,10.02
404,Along,0,IN,1547349076,37,28.17,94.8,55.71,2.04
405,Gushi,64,CN,1547349077,92,32.17,115.65,43.83,4.54
406,Ketchikan,90,US,1547344560,92,55.34,-131.65,48.02,5.82
407,Bosansko Grahovo,56,BA,1547349080,66,44.18,16.37,10.62,1.81
408,Isangel,64,VU,1547349081,100,-19.55,169.27,79.38,4.76
409,Bhiwani,44,IN,1547349082,96,28.79,76.14,52.47,6.29
410,Ampanihy,76,MG,1547349084,92,-24.69,44.75,71.46,3.04
411,Mianwali,80,PK,1547349085,95,32.57,71.58,43.56,3.76
412,Daura,0,NG,1547349086,49,13.04,8.32,60.39,9.31
413,Broome,80,GB,1547348160,81,52.47,1.45,51.8,19.46
414,Smithers,90,CA,1547344920,100,54.78,-127.17,33.8,2.24
415,Belaya Gora,48,RU,1547349090,0,68.54,146.19,-39.61,3.38
416,Zarubino,24,RU,1547349091,98,42.65,131.06,28.8,2.26
417,Rivera,92,UY,1547349092,97,-30.9,-55.54,69.39,6.85
418,Ewa Beach,1,US,1547344620,66,21.32,-158.01,80.06,8.05
419,Natal,40,BR,1547344800,78,-5.81,-35.21,78.8,3.36
420,San Quintin,0,PH,1547349096,62,17.54,120.52,79.11,3.53
421,Pokrovsk,76,UA,1547349097,97,48.28,37.18,23.31,8.34
422,Tual,80,ID,1547349098,100,-5.67,132.75,83.16,13.78
423,Ipixuna,40,BR,1547344800,94,-1.76,-48.8,75.2,5.82
424,Roseville,90,US,1547347980,66,38.75,-121.29,55.4,4.7
425,Sabinas Hidalgo,0,MX,1547349102,79,26.51,-100.18,47.16,2.53
426,Luanda,40,AO,1547344800,88,-8.83,13.24,77.0,2.24
427,Turbat,8,PK,1547349104,45,26.0,63.05,48.96,4.32
428,Kalmunai,88,LK,1547349106,100,7.42,81.82,73.89,5.77
429,Ocos,5,GT,1547347260,88,14.51,-92.19,75.2,4.7
430,Karratha,8,AU,1547349108,15,-20.74,116.85,108.54,10.54
431,Mount Isa,0,AU,1547346720,21,-20.73,139.49,102.2,19.46
432,Yaan,8,NG,1547349111,58,7.38,8.57,68.76,3.98
433,NEDJO,0,ET,1547349112,51,9.5,35.5,46.08,3.6
434,Porto Velho,75,BR,1547344800,94,-8.75,-63.87,75.2,2.24
435,Oda,20,JP,1547344800,65,35.19,132.5,46.4,4.7
436,Vardo,90,US,1547348400,95,39.62,-77.74,32.0,4.7
437,Longhua,80,CN,1547349118,100,29.21,106.21,44.19,2.37
438,Bannu,48,PK,1547349119,98,32.99,70.6,37.62,1.86
439,Goderich,24,CA,1547349120,88,43.74,-81.71,14.85,11.14
440,Camargo,0,MX,1547349027,59,27.69,-105.17,47.97,9.42
441,Mouila,76,GA,1547349122,100,-1.86,11.06,70.11,2.75
442,Carutapera,92,BR,1547349124,96,-1.2,-46.02,76.59,6.73
443,Cayenne,40,GF,1547346600,83,4.94,-52.33,75.2,7.56
444,Valparaiso,40,US,1547348100,87,41.47,-87.06,30.92,16.11
445,Stromness,90,CA,1547348040,64,42.87,-79.55,24.08,6.93
446,Manokwari,12,ID,1547348889,100,-0.87,134.08,80.73,4.05
447,Melilla,20,EC,1547344800,83,-0.8,-80.23,78.8,4.7
448,Juegang,8,CN,1547349134,91,32.31,121.18,45.0,8.12
449,Maragogi,92,BR,1547349136,100,-9.01,-35.22,73.89,5.1
450,Beringovskiy,32,RU,1547349137,92,63.05,179.32,-7.39,26.42
451,Kidal,36,ML,1547349138,15,18.44,1.41,53.37,9.8
452,San Cristobal,20,EC,1547348400,100,-0.39,-78.55,55.4,4.7
453,San Carlos de Bariloche,0,AR,1547344800,66,-41.13,-71.31,53.6,14.99
454,Atar,0,MR,1547349142,27,20.52,-13.05,51.93,7.63
455,Muhos,0,FI,1547347800,85,64.81,26.0,23.0,4.7
456,Pandrup,92,DK,1547349145,88,57.21,9.68,39.51,14.45
457,Fairbanks,1,US,1547344680,72,64.84,-147.72,-23.98,4.32
458,Miranda de Ebro,75,ES,1547346600,93,42.69,-2.95,44.6,5.82
459,Vanino,88,RU,1547349149,86,53.93,40.55,13.32,11.43
460,Dickinson,90,US,1547348160,96,46.88,-102.79,21.92,8.05
461,Sao Felix do Xingu,56,BR,1547349151,100,-6.64,-51.99,70.29,1.3
462,Ambilobe,44,MG,1547349153,92,-13.19,49.05,68.31,3.09
463,Qaqortoq,92,GL,1547347800,96,60.72,-46.03,32.0,8.05
464,Krasnoarmeysk,90,RU,1547346600,92,56.12,38.15,17.6,8.95
465,Saldanha,0,PT,1547349157,79,41.42,-6.55,18.81,3.09
466,Muli,0,IN,1547349159,86,22.62,71.45,54.09,2.86
467,Waipawa,92,NZ,1547349160,92,-39.94,176.59,66.78,2.98
468,Yuli,8,NG,1547349161,43,10.52,9.86,59.49,7.07
469,Kailua,90,US,1547344620,73,21.39,-157.74,80.06,8.05
470,Zacualpan,5,MX,1547347380,100,21.25,-105.17,75.2,1.36
471,Zhigalovo,32,RU,1547349168,65,54.81,105.15,-5.23,5.5
472,Baniachang,0,BD,1547349169,88,24.52,91.37,63.9,4.09
473,Caucaia,40,BR,1547344800,83,-3.73,-38.66,80.6,3.36
474,Tiznit,0,MA,1547349172,78,29.7,-9.73,48.06,4.76
475,Chenghai,90,CN,1547344800,88,23.46,116.77,64.4,4.47
476,Namtsy,8,RU,1547346600,64,62.72,129.66,-43.61,4.47
477,Zeya,44,RU,1547349176,60,53.74,127.27,-3.34,2.86
478,Pangody,68,RU,1547349177,67,65.85,74.49,-0.82,21.32
479,Panaba,0,MX,1547349178,69,21.28,-88.27,69.66,6.62
480,Zonguldak,92,TR,1547349180,100,41.25,31.83,35.82,2.48
481,Hashtgerd,0,IR,1547348400,50,35.96,50.69,33.8,6.93
482,The Valley,20,AI,1547344800,83,18.22,-63.06,75.2,6.93
483,Awjilah,20,LY,1547349006,76,29.14,21.3,49.41,19.08
484,Ekhabi,56,RU,1547349191,83,53.51,142.97,11.79,14.79
485,Lewiston,1,US,1547348160,72,46.42,-117.02,35.96,4.7
486,Villa Carlos Paz,75,AR,1547344800,94,-31.42,-64.5,71.6,3.36
487,Tura,0,IN,1547349195,77,25.52,90.21,61.02,3.49
488,Hamilton,90,CA,1547344800,73,43.26,-79.87,23.0,17.22
489,Cururupu,56,BR,1547349198,98,-1.82,-44.87,74.16,4.09
490,Georgetown,75,GY,1547344800,83,6.8,-58.16,78.8,13.87
491,Verkhnyaya Inta,64,RU,1547349201,76,65.99,60.32,7.02,3.49
492,Ivanteyevka,90,RU,1547346600,92,55.97,37.92,17.6,8.95
493,Hualmay,0,PE,1547349084,95,-11.1,-77.61,64.62,6.29
494,Jalu,0,LY,1547349204,64,29.03,21.55,47.43,17.4
495,Okhotsk,0,RU,1547348925,100,59.36,143.24,-2.53,9.08
496,Bumba,36,CD,1547349207,88,2.18,22.47,72.81,4.5
497,Zhezkazgan,90,KZ,1547346600,91,47.8,67.71,3.2,6.71
498,Alamos,92,AR,1547349210,99,-36.9,-62.36,63.09,7.52
499,Qazanbulaq,20,AZ,1547346600,40,40.62,46.65,35.6,9.17
500,Inirida,24,CO,1547349212,95,3.87,-67.92,75.42,2.53
501,San Marcos de Colon,0,HN,1547349213,52,13.43,-86.8,78.21,7.74
502,Rognan,75,NO,1547347800,92,67.1,15.4,28.4,8.05
503,Narsaq,80,GL,1547347800,84,60.91,-46.05,32.0,8.05
504,Arlit,0,NE,1547349217,53,18.74,7.39,50.04,8.41
505,Ormara,48,PK,1547349218,93,25.21,64.64,63.81,9.64
506,Kendari,12,ID,1547349220,78,-3.99,122.52,87.3,3.49
507,Weligama,68,LK,1547349221,100,5.97,80.42,78.93,4.99
508,Traverse City,90,US,1547348160,77,44.76,-85.62,26.06,9.17
509,Takoradi,36,GH,1547349224,100,4.89,-1.75,81.9,7.9
510,Kupang,20,ID,1547346600,59,-10.16,123.6,89.6,5.82
511,Bonavista,76,CA,1547349168,100,48.65,-53.11,25.38,10.36
512,Hilton Head Island,90,US,1547348160,93,32.16,-80.75,55.4,6.93
513,Aykhal,24,RU,1547349228,47,65.95,111.51,-30.25,2.86
514,Nanakuli,90,US,1547344620,64,21.39,-158.15,80.06,5.82
515,Barcelos,0,PT,1547346600,86,41.53,-8.62,39.2,4.7
516,Glassford,40,GB,1547347800,93,55.7,-4.02,51.8,17.22
517,Castelo do Piaui,44,BR,1547349234,95,-5.32,-41.55,67.23,2.82
518,Kunszentmiklos,90,HU,1547347500,74,47.03,19.13,35.6,6.93
519,Yugorsk,48,RU,1547349236,78,61.32,63.33,12.51,8.08
520,Marakkanam,24,IN,1547349238,100,12.2,79.95,71.73,9.53
521,Kimbe,56,PG,1547349240,100,-5.56,150.15,81.36,6.06
522,Vestmanna,92,FO,1547347800,100,62.16,-7.17,41.0,13.87
523,Piacabucu,100,BR,1547349243,92,-10.41,-36.43,75.96,5.84
524,Ayan,88,TR,1547349244,98,40.67,33.6,30.24,2.53
525,Makaryev,80,RU,1547349246,86,57.88,43.81,13.23,9.24
526,Alvorada,75,BR,1547344800,100,-30.0,-51.08,75.2,6.93
527,Margate,0,AU,1547346600,35,-43.03,147.26,69.8,12.75
528,Dahra,0,DZ,1547344800,86,36.25,0.85,39.2,11.41
529,Kijang,75,KR,1547344800,56,35.24,129.21,42.8,10.29
530,Hasanabad,20,IR,1547348400,85,35.37,51.24,33.8,8.05
531,Harbour Breton,64,CA,1547349185,100,47.48,-55.8,26.37,18.7
532,Bowen,75,AU,1547344800,70,-20.01,148.25,84.2,21.92
533,Umba,76,RU,1547349256,87,66.69,34.34,20.61,9.91
534,Vigrestad,75,NO,1547347800,93,58.57,5.7,44.6,14.99
535,Gazojak,56,TM,1547349259,81,41.19,61.4,34.92,17.92
536,Kemin,0,KG,1547349260,66,42.79,75.7,-5.32,2.37
537,Jutai,68,BR,1547349261,96,-1.71,-47.89,74.88,4.76
538,Neryungri,24,RU,1547349263,41,56.66,124.71,-15.13,2.98
539,Bundaberg,0,AU,1547344800,43,-24.87,152.35,89.6,18.34
540,Saint-Joseph,0,FR,1547348400,74,43.56,6.97,48.2,4.7
541,Big Rapids,90,US,1547348160,77,43.7,-85.48,28.4,11.41
542,Itapirapua,68,BR,1547349268,94,-15.82,-50.61,68.85,8.12
543,Mattru,64,SL,1547349269,77,7.62,-11.83,77.58,4.61
544,Pearl Lagoon,68,NI,1547349271,98,12.34,-83.67,78.75,11.03
545,Onoda,20,JP,1547348400,76,34.0,131.18,51.8,6.93
546,Evensk,0,RU,1547349274,100,61.92,159.24,2.97,6.78
547,Xucheng,12,CN,1547349275,86,33.0,118.51,46.44,4.54
548,Muisne,68,EC,1547349277,77,0.61,-80.02,74.61,2.59
549,Alzamay,44,RU,1547349278,46,55.55,98.67,-1.72,8.86
550,Redcliffe,90,GB,1547348160,100,51.45,-2.59,50.0,19.46
551,Ucluelet,92,CA,1547349280,96,48.94,-125.55,45.54,2.08
552,Waidhofen,90,DE,1547347800,93,48.58,11.34,35.6,16.11
